9.999999999999997780e-01,5.707383461017911941e-01,6.578070481940496705e-01,7.467894374648504918e-01,6.264457860085068663e-01,6.436816834561692735e-01,6.688999275608479289e-01,6.851093073535873268e-01,6.435914783350971113e-01,6.857245155325771835e-01,6.819035334777387991e-01,6.575370268767960491e-01
5.707383461017911941e-01,1.000000000000000000e+00,2.914166133651647228e-01,8.970803740973604112e-01,8.724894725207189561e-01,8.387817180182608467e-01,8.105848896294456374e-01,7.437130693518914093e-01,8.718094520616357368e-01,8.168737064123172686e-01,4.614389330380306298e-01,9.243611546713053073e-01
6.578070481940496705e-01,2.914166133651647228e-01,9.999999999999997780e-01,5.628470458367683671e-01,3.676585966539688277e-01,3.349977770293864898e-01,4.524034346369550930e-01,5.792747536022031518e-01,3.039478890339962214e-01,7.024605299246562407e-01,8.603328776089080865e-01,4.411666534674948958e-01
7.467894374648504918e-01,8.970803740973604112e-01,5.628470458367683671e-01,1.000000000000000000e+00,8.275924326040668966e-01,7.891996332095830846e-01,9.547412440645077769e-01,9.235118642407903478e-01,8.022130492951160541e-01,9.054198160361467407e-01,7.286271087675475489e-01,9.040873116934365905e-01
6.264457860085068663e-01,8.724894725207189561e-01,3.676585966539688277e-01,8.275924326040668966e-01,1.000000000000000222e+00,7.748978635994113739e-01,7.472106635325493906e-01,7.728700371769381405e-01,6.821602672288429314e-01,8.107402680022305352e-01,6.074208640412404048e-01,9.560898274458622392e-01
6.436816834561692735e-01,8.387817180182608467e-01,3.349977770293864898e-01,7.891996332095830846e-01,7.748978635994113739e-01,9.999999999999998890e-01,7.730269292970702866e-01,6.902226432436704417e-01,7.968733311774874872e-01,7.231125155097143375e-01,4.763570377406159406e-01,7.900496791302555888e-01
6.688999275608479289e-01,8.105848896294456374e-01,4.524034346369550930e-01,9.547412440645077769e-01,7.472106635325493906e-01,7.730269292970702866e-01,9.999999999999998890e-01,9.011289524413484964e-01,7.322704818468538379e-01,8.072539318283862286e-01,6.698058982616273971e-01,8.146650589943554843e-01
6.851093073535873268e-01,7.437130693518914093e-01,5.792747536022031518e-01,9.235118642407903478e-01,7.728700371769381405e-01,6.902226432436704417e-01,9.011289524413484964e-01,9.999999999999997780e-01,6.497951141004887354e-01,8.900226551672413278e-01,8.503328696618311922e-01,8.331946023842313753e-01
6.435914783350971113e-01,8.718094520616357368e-01,3.039478890339962214e-01,8.022130492951160541e-01,6.821602672288429314e-01,7.968733311774874872e-01,7.322704818468538379e-01,6.497951141004887354e-01,1.000000000000000222e+00,7.404254635060618650e-01,4.229974348017826458e-01,7.372890597000297808e-01
6.857245155325771835e-01,8.168737064123172686e-01,7.024605299246562407e-01,9.054198160361467407e-01,8.107402680022305352e-01,7.231125155097143375e-01,8.072539318283862286e-01,8.900226551672413278e-01,7.404254635060618650e-01,9.999999999999998890e-01,8.674803399317926322e-01,9.065369991631304636e-01
6.819035334777387991e-01,4.614389330380306298e-01,8.603328776089080865e-01,7.286271087675475489e-01,6.074208640412404048e-01,4.763570377406159406e-01,6.698058982616273971e-01,8.503328696618311922e-01,4.229974348017826458e-01,8.674803399317926322e-01,9.999999999999997780e-01,6.704255962614265041e-01
6.575370268767960491e-01,9.243611546713053073e-01,4.411666534674948958e-01,9.040873116934365905e-01,9.560898274458622392e-01,7.900496791302555888e-01,8.146650589943554843e-01,8.331946023842313753e-01,7.372890597000297808e-01,9.065369991631304636e-01,6.704255962614265041e-01,9.999999999999997780e-01
